Year,State,County,HAI,Facility_ID,Facility_Name,Facility_Type,Infections_Reported,Patient_Days,Rate,Rate_CI_95_Lower_Limit,Rate_CI_95_Upper_Limit,Comparison,Months,Rate_2015,Notes
2022,California,,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),,,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Unit,0,354519,0,0,0.08,,,,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000011,Alameda Hospital,"Community, <125 Beds",2,16407,1.22,0.2,4.03,Same,12,0,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000203,Alta Bates Summit Medical Center - Summit Campus,Major Teaching,1,53101,0.19,0.01,0.93,Same,12,0,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000203,"Alta Bates Summit Medical Center - Summit Campus, Rehabilitation Unit",Rehabilitation Unit,0,12082,0,0,2.48,Same,12,,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000012,Alta Bates Summit Medical Center-Alta Bates Campus,Major Teaching,2,61766,0.32,0.05,1.07,Same,12,0,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000183,Eden Medical Center,"Community, 125-250 Beds",1,42815,0.23,0.01,1.15,Same,12,0,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000034,Highland Hospital,Major Teaching,1,54478,0.18,0.01,0.91,Same,12,0.41,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140001086,Kaiser Foundation Hospital - Fremont,"Community, <125 Beds",0,28109,0,0,1.07,Same,12,0,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000188,Kaiser Foundation Hospital - Oakland/Richmond,Major Teaching,2,87114,0.23,0.04,0.76,Same,12,0.11,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),630015029,Kaiser Foundation Hospital - San Leandro,"Community, 125-250 Beds",1,61696,0.16,0.01,0.8,Same,12,0,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000148,Kindred Hospital - San Francisco Bay Area,Long-Term Acute Care,5,22431,2.23,0.82,4.94,Same,12,,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),630013913,San Leandro Hospital,"Community, <125 Beds",2,16186,1.24,0.21,4.08,Same,12,0,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000041,St Rose Hospital,"Community, 125-250 Beds",0,18289,0,0,1.64,Same,12,0.34,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000199,Stanford Health Care Tri-Valley,"Community, 125-250 Beds",2,40071,0.5,0.08,1.65,Same,12,0.26,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000014,Ucsf Benioff Children's Hospital Oakland,Pediatric,0,41426,0,0,0.72,Same,12,0,
2022,California,Alameda,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000118,Washington Hospital,"Community, >250 Beds",2,62308,0.32,0.05,1.06,Same,12,0,
2022,California,Amador,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),30000108,Sutter Amador Hospital,"Community, <125 Beds",0,10384,0,0,2.88,Same,12,0,
2022,California,Butte,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),230000013,Enloe Medical Center - Esplanade,"Community, >250 Beds",4,81516,0.49,0.16,1.18,Same,12,0,
2022,California,Butte,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),230000405,Enloe Rehabilitation Center,Free-Standing Rehabilitation,0,6378,0,0,4.7,Same,12,0,
2022,California,Butte,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),230000001,Orchard Hospital,Critical Access,0,1155,0,0,25.94,Same,12,0,
2022,California,Butte,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),230000014,Oroville Hospital,"Community, 125-250 Beds",0,44838,0,0,0.67,Same,12,0.7,
2022,California,Calaveras,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),30000120,Mark Twain Medical Center,Critical Access,0,2739,0,0,10.94,Same,12,0,
2022,California,Colusa,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),230000259,Colusa Medical Center,"Community, <125 Beds",0,7458,0,0,4.02,Same,12,,
2022,California,Contra Costa,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000195,Contra Costa Regional Medical Center,Major Teaching,1,32814,0.3,0.02,1.5,Same,12,0,
2022,California,Contra Costa,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000196,John Muir Medical Center-Concord Campus,Major Teaching,4,60893,0.66,0.21,1.58,Same,12,0.21,
2022,California,Contra Costa,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000187,John Muir Medical Center-Walnut Creek Campus,Major Teaching,3,106220,0.28,0.07,0.77,Same,12,0.8,
2022,California,Contra Costa,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000187,"John Muir Medical Center-Walnut Creek Campus, Rehabilitation Unit",Rehabilitation Unit,0,6075,0,0,4.93,Same,12,0,
2022,California,Contra Costa,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),630011203,Kaiser Foundation Hospital - Antioch,Major Teaching,1,40688,0.25,0.01,1.21,Same,12,0,
2022,California,Contra Costa,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000191,Kaiser Foundation Hospital - Richmond Campus,Major Teaching,0,15906,0,0,1.88,Same,12,,
2022,California,Contra Costa,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000190,Kaiser Foundation Hospital - Walnut Creek,"Community, 125-250 Beds",1,68459,0.15,0.01,0.72,Same,12,0.16,
2022,California,Contra Costa,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000704,San Ramon Regional Medical Center,"Community, <125 Beds",0,17287,0,0,1.73,Same,12,1.03,
2022,California,Contra Costa,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),140000016,Sutter Delta Medical Center,"Community, 125-250 Beds",1,25562,0.39,0.02,1.93,Same,12,0,
2022,California,Del Norte,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),110000049,Sutter Coast Hospital,"Community, <125 Beds",0,8474,0,0,3.54,Same,12,0,
2022,California,El Dorado,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),30000114,Barton Memorial Hospital,"Community, <125 Beds",0,7569,0,0,3.96,Same,12,0,
2022,California,El Dorado,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),30000121,Marshall Medical Center,"Community, <125 Beds",1,20079,0.5,0.02,2.46,Same,12,0,
2022,California,Fresno,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),40000124,Adventist Health Reedley,"Community, <125 Beds",0,8956,0,0,3.34,Same,12,0,
2022,California,Fresno,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),40000122,Adventist Health Selma,"Community, <125 Beds",0,7119,0,0,4.21,Same,12,0,
2022,California,Fresno,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),40000095,Clovis Community Medical Center,Major Teaching,5,91525,0.55,0.2,1.21,Same,12,0.46,
2022,California,Fresno,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),40000096,Coalinga Regional Medical Center,"Community, <125 Beds",0,2086,0,0,14.36,Same,11,,"Incomplete Reporter, interpret with caution"
2022,California,Fresno,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),40000101,Community Regional Medical Center,Major Teaching,12,219845,0.55,0.3,0.93,Same,12,0.9,
2022,California,Fresno,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),40000101,"Community Regional Medical Center, Rehabilitation Unit",Rehabilitation Unit,0,10128,0,0,2.96,Same,12,0,
2022,California,Fresno,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),40001397,Fresno Heart And Surgical Hospital,Major Teaching,0,14187,0,0,2.11,Same,12,0,
2022,California,Fresno,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),40000254,Fresno Surgical Hospital,"Community, <125 Beds",0,3166,0,0,9.46,Same,12,0,
2022,California,Fresno,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),40000949,Kaiser Foundation Hospital - Fresno,"Community, 125-250 Beds",0,43692,0,0,0.69,Same,12,0.33,
2022,California,Fresno,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),40000126,Saint Agnes Medical Center,Major Teaching,7,106764,0.66,0.29,1.3,Same,12,0.11,
2022,California,Fresno,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),40000613,San Joaquin Valley Rehabilitation Hospital,Free-Standing Rehabilitation,0,17114,0,0,1.75,Same,12,0,
2022,California,Glenn,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),230000006,Glenn Medical Center,Critical Access,0,7490,0,0,4,Same,12,0,
2022,California,Humboldt,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),110000057,Jerold Phelps Community Hospital,Critical Access,0,892,0,0,33.58,Same,12,0,
2022,California,Humboldt,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),110000021,Mad River Community Hospital,"Community, <125 Beds",0,6140,0,0,4.88,Same,12,0,
2022,California,Humboldt,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),110000045,Providence Redwood Memorial Hospital,Critical Access,0,4776,0,0,6.27,Same,12,0,
2022,California,Humboldt,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),110000067,Providence St. Joseph Hospital,"Community, 125-250 Beds",0,35476,0,0,0.84,Same,12,1.01,
2022,California,Humboldt,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),110000069,The General Hospital,Free-Standing Rehabilitation,0,1804,0,0,16.61,Same,7,0,"Incomplete Reporter, interpret with caution"
2022,California,Imperial,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),90000040,El Centro Regional Medical Center,"Community, 125-250 Beds",3,26358,1.14,0.29,3.1,Same,12,0.41,
2022,California,Imperial,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),90000146,Pioneers Memorial Healthcare District,"Community, <125 Beds",0,18987,0,0,1.58,Same,12,0.5,
2022,California,Inyo,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),240000037,Northern Inyo Hospital,Critical Access,0,3582,0,0,8.36,Same,12,0,
2022,California,Inyo,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),240000102,Southern Inyo Hospital,Critical Access,,,,,,,0,,"Incomplete Reporter, interpret with caution"
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120000411,Adventist Health Bakersfield,Major Teaching,4,75198,0.53,0.17,1.28,Same,12,0.26,
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120000336,Adventist Health Delano,"Community, <125 Beds",1,9035,1.11,0.06,5.46,Same,12,0,
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120000413,Adventist Health Tehachapi Valley,Critical Access,0,3858,0,0,7.76,Same,12,0,
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120001330,Bakersfield Heart Hospital,"Community, <125 Beds",0,11702,0,0,2.56,Same,12,0,
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120000338,Bakersfield Memorial Hospital,"Community, >250 Beds",0,82817,0,0,0.36,Same,12,0.59,
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120000555,Encompass Health Rehabilitation Hospital Of Bakersfield,Free-Standing Rehabilitation,0,22452,0,0,1.33,Same,12,0,
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120000319,Good Samaritan Hospital,"Community, <125 Beds",0,7047,0,0,4.25,Same,12,0,
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120000342,Kern Medical Center,Major Teaching,1,59967,0.17,0.01,0.82,Same,12,0,
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120000344,Kern Valley Healthcare District,Critical Access,0,2021,0,0,14.82,Same,12,0,
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120000404,Mercy Hospital,"Community, <125 Beds",0,22605,0,0,1.33,Same,12,0.42,
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120000701,Mercy Southwest Hospital,"Community, <125 Beds",0,33547,0,0,0.89,Same,12,0,
2022,California,Kern,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),120000409,Ridgecrest Regional Hospital,Critical Access,0,8162,0,0,3.67,Same,12,0,
2022,California,Kings,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),630012960,Adventist Health Hanford,Major Teaching,1,41444,0.24,0.01,1.19,Same,12,0,
2022,California,Lake,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),110000044,Adventist Health Clearlake,Critical Access,0,5456,0,0,5.49,Same,12,0,
2022,California,Lake,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),110000019,Sutter Lakeside Hospital,Critical Access,0,6969,0,0,4.3,Same,12,0,
2022,California,Lassen,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),230000008,Banner Lassen Medical Center,Critical Access,0,3480,0,0,8.61,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000059,Adventist Health Glendale,Major Teaching,2,87566,0.23,0.04,0.75,Same,12,0.79,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000059,"Adventist Health Glendale, Rehabilitation Unit",Rehabilitation Unit,0,6519,0,0,4.6,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000191,Adventist Health White Memorial,Major Teaching,2,79370,0.25,0.04,0.83,Same,12,0.22,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000005,Alhambra Hospital Medical Center,"Community, 125-250 Beds",2,20337,0.98,0.16,3.25,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000005,"Alhambra Hospital Medical Center, Rehabilitation Unit",Rehabilitation Unit,0,3375,0,0,8.88,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000008,Antelope Valley Hospital,Major Teaching,1,89013,0.11,0.01,0.55,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000014,Barlow Respiratory Hospital,Long-Term Acute Care,0,23746,0,0,1.26,Better,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000012,Beverly Hospital,"Community, 125-250 Beds",1,32271,0.31,0.02,1.53,Same,12,0.51,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000002,California Hospital Medical Center - Los Angeles,Major Teaching,2,76942,0.26,0.04,0.86,Same,12,0.12,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000031,"California Rehabilitation Institute, Llc",Free-Standing Rehabilitation,0,48061,0,0,0.62,Same,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000020,Casa Colina Hospital,"Community, <125 Beds",1,4159,2.4,0.12,11.86,Same,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000020,Casa Colina Hospital-Rehab,Rehabilitation Unit,0,22363,0,0,1.34,Same,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000013,Catalina Island Medical Center,Critical Access,0,291,0,0,102.95,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000044,Cedars-Sinai Marina Del Rey Hospital,"Community, 125-250 Beds",1,21858,0.46,0.02,2.26,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000004,Cedars-Sinai Medical Center,Major Teaching,46,310180,1.48,1.1,1.96,Worse,12,0.81,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000022,Centinela Hospital Medical Center,Major Teaching,3,59498,0.5,0.13,1.37,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000022,"Centinela Hospital Medical Center, Rehabilitation Unit",Rehabilitation Unit,0,4075,0,0,7.35,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000034,Children's Hospital Los Angeles,Pediatric,1,110439,0.09,0,0.45,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000036,City Of Hope Helford Clinical Research Hospital,"Community, 125-250 Beds",26,74495,3.49,2.33,5.04,Worse,12,2.21,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000038,Coast Plaza Hospital,"Community, <125 Beds",0,10169,0,0,2.95,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000114,College Medical Center,"Community, 125-250 Beds",0,18366,0,0,1.63,Same,12,0.25,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000040,Community Hospital Of Huntington Park,"Community, <125 Beds",0,15154,0,0,1.98,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000158,Docs Surgical Hospital,"Community, <125 Beds",0,843,0,0,35.54,Same,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000053,East Los Angeles Doctors Hospital,"Community, <125 Beds",0,10528,0,0,2.85,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000056,Emanate Health Foothill Presbyterian Hospital,Major Teaching,2,23004,0.87,0.15,2.87,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000070,Emanate Health Inter-Community Hospital,Major Teaching,0,31744,0,0,0.94,Same,12,0.13,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000132,Emanate Health Queen Of The Valley Hospital,Major Teaching,3,58022,0.52,0.13,1.41,Same,12,0.59,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000132,"Emanate Health Queen Of The Valley Hospital, Rehabilitation Unit",Rehabilitation Unit,0,3403,0,0,8.8,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000054,Encino Hospital Medical Center,"Community, 125-250 Beds",0,8649,0,0,3.46,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000058,Garfield Medical Center,"Community, 125-250 Beds",3,43309,0.69,0.18,1.89,Same,12,0.52,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000058,"Garfield Medical Center, Rehabilitation Unit",Rehabilitation Unit,0,4496,0,0,6.66,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000093,Glendale Memorial Hospital And Health Center,"Community, >250 Beds",0,42552,0,0,0.7,Same,12,0.2,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000093,"Glendale Memorial Hospital And Health Center, Rehabilitation Unit",Rehabilitation Unit,0,3491,0,0,8.58,Same,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000062,Greater El Monte Community Hospital,"Community, <125 Beds",0,11491,0,0,2.61,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000063,Henry Mayo Newhall Hospital,"Community, >250 Beds",0,56898,0,0,0.53,Same,12,0.38,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000063,"Henry Mayo Newhall Hospital, Rehabilitation Unit",Rehabilitation Unit,0,3591,0,0,8.34,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000065,Hollywood Presbyterian Medical Center,"Community, >250 Beds",2,69691,0.29,0.05,0.95,Same,12,0.13,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000065,"Hollywood Presbyterian Medical Center, Rehabilitation Unit",Rehabilitation Unit,0,5094,0,0,5.88,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000026,Huntington Hospital,"Community, >250 Beds",9,118809,0.76,0.37,1.39,Worse,12,0.26,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000026,"Huntington Hospital, Rehabilitation Unit",Rehabilitation Unit,0,5072,0,0,5.91,Same,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930001543,Kaiser Foundation Hospital - Baldwin Park,Major Teaching,2,50102,0.4,0.07,1.32,Same,12,0.44,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000072,Kaiser Foundation Hospital - Los Angeles,Major Teaching,9,126726,0.71,0.35,1.3,Same,12,0.17,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000050,Kaiser Foundation Hospital - Panorama City,Major Teaching,0,39345,0,0,0.76,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000071,Kaiser Foundation Hospital - South Bay,Major Teaching,2,56997,0.35,0.06,1.16,Same,12,0.38,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000290,Kaiser Foundation Hospital - Woodland Hills,Major Teaching,2,44214,0.45,0.08,1.49,Same,12,0.22,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000074,Kaiser Foundation Hospital-Downey,Major Teaching,1,95162,0.11,0.01,0.52,Same,12,0.12,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000076,Kaiser Foundation Hospital-West La,Major Teaching,4,48722,0.82,0.26,1.98,Same,12,0.23,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000912,Keck Hospital Of Usc,Major Teaching,19,87600,2.17,1.34,3.32,Worse,12,0.71,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000912,"Keck Hospital Of Usc, Rehabilitation Unit",Rehabilitation Unit,0,5919,0,0,5.06,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000089,Kindred Hospital - La Mirada,Long-Term Acute Care,2,15942,1.25,0.21,4.14,Same,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000088,Kindred Hospital - Los Angeles,Long-Term Acute Care,10,22375,4.47,2.27,7.97,Worse,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000042,Kindred Hospital - San Gabriel Valley,Long-Term Acute Care,3,16212,1.85,0.47,5.04,Same,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000144,Kindred Hospital Baldwin Park,Long-Term Acute Care,4,26733,1.5,0.48,3.61,Same,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000033,Kindred Hospital Paramount,Long-Term Acute Care,11,29120,3.78,1.99,6.57,Worse,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000039,Kindred Hospital South Bay,Long-Term Acute Care,3,15933,1.88,0.48,5.12,Same,12,,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),930000035,L.a. Downtown Medical Center,"Community, <125 Beds",0,11829,0,0,2.53,Same,12,0,
2022,California,Los Angeles,Vancomycin-Resistant Enterococcus Bloodstream Infection (VRE BSI),60000040,Lac+Usc Medical Center,Major Teaching,11,149508,0.74,0.39,1.28,Same,12,1.03,
